iter	RMSE
0	130.4863326
1	129.5316826
2	128.5330168
3	127.5912106
4	126.6686467
5	125.7865894
6	124.919821
7	124.1117403
8	123.3615603
9	122.6149974
10	121.8865379
11	121.1901919
12	120.5929561
13	119.9896844
14	119.3945253
15	118.8845721
16	118.3611226
17	117.8495289
18	117.3704808
19	116.9035003
20	116.439924
21	116.0192383
22	115.6171623
23	115.2299707
24	114.8251441
25	114.4717903
26	114.1458973
27	113.8371738
28	113.5027199
29	113.2009496
30	112.9205927
31	112.6549433
32	112.4114133
33	112.1523126
34	111.866627
35	111.6159323
36	111.3955202
37	111.1363416
38	110.926814
39	110.7263436
40	110.4993484
41	110.297476
42	110.0809037
43	109.8942889
44	109.6942556
45	109.5023814
46	109.3603971
47	109.2099809
48	109.0584638
49	108.879121
50	108.7100235
51	108.5759611
52	108.4464794
53	108.3154019
54	108.1659043
55	108.0395481
56	107.9206283
57	107.7840667
58	107.6753431
59	107.5747964
60	107.4704858
61	107.3600448
62	107.2805801
63	107.1790659
64	107.0787319
65	106.9825374
66	106.8963024
67	106.8105953
68	106.726265
69	106.6471299
70	106.5688593
71	106.4946431
72	106.3982849
73	106.327681
74	106.2689754
75	106.1935512
76	106.1062881
77	106.0304956
78	105.9651587
79	105.9181945
80	105.8551565
81	105.8037234
82	105.7203214
83	105.6422105
84	105.5774739
85	105.5095538
86	105.4473365
87	105.3886459
88	105.333336
89	105.2808666
90	105.2335099
91	105.1623626
92	105.1115369
93	105.0385444
94	104.9908156
95	104.9424443
96	104.8952061
97	104.8529946
98	104.7945242
99	104.7522387
100	104.7017485
101	104.6571865
102	104.5921163
