iter	Passed	Remaining
0	231	231147
1	317	158590
2	414	137676
3	484	120746
4	554	110429
5	619	102611
6	696	98755
7	778	96542
8	849	93593
9	911	90235
10	969	87209
11	1039	85563
12	1109	84273
13	1175	82765
14	1236	81194
15	1296	79744
16	1364	78885
17	1423	77684
18	1493	77137
19	1559	76391
20	1623	75677
21	1676	74526
22	1741	73969
23	1811	73684
24	1881	73375
25	1964	73586
26	2014	72585
27	2082	72305
28	2149	71973
29	2215	71631
30	2282	71356
31	2346	70981
32	2422	70981
33	2494	70880
34	2565	70730
35	2625	70318
36	2690	70032
37	2757	69802
38	2824	69607
39	2884	69220
40	2936	68679
41	2992	68261
42	3056	68028
43	3099	67333
44	3148	66808
45	3195	66265
46	3247	65849
47	3309	65642
48	3376	65528
49	3447	65508
50	3521	65536
51	3601	65649
52	3672	65621
53	3732	65383
54	3812	65511
55	3881	65422
56	3949	65332
57	4019	65285
58	4073	64970
59	4143	64913
60	4221	64978
61	4298	65032
62	4378	65116
63	4444	65000
64	4514	64935
65	4571	64694
66	4638	64597
67	4697	64384
68	4756	64184
69	4819	64025
70	4872	63751
71	4936	63631
72	5007	63591
73	5075	63506
74	5139	63386
75	5195	63167
76	5267	63138
77	5330	63010
78	5396	62912
79	5454	62729
80	5516	62589
81	5573	62396
82	5631	62217
83	5693	62084
84	5761	62019
85	5821	61869
86	5886	61772
87	5945	61612
88	6009	61510
89	6064	61315
90	6130	61233
91	6179	60990
92	6243	60887
93	6308	60804
94	6376	60739
95	6440	60650
96	6497	60489
97	6549	60285
98	6614	60196
99	6676	60087
100	6739	59984
101	6793	59808
102	6863	59771
103	6925	59669
104	6988	59564
105	7047	59440
106	7113	59365
107	7182	59324
108	7248	59250
109	7310	59151
110	7382	59123
111	7446	59038
112	7511	58963
113	7571	58847
114	7640	58801
115	7707	58736
116	7771	58651
117	7835	58563
118	7901	58499
119	7965	58413
120	8028	58321
121	8089	58217
122	8155	58147
123	8223	58093
124	8284	57991
125	8344	57878
126	8419	57874
